Name,Location,AvgPrice,Currency,Cuisine,MICHELINStars
Sushi Tadokoro,San Diego,120,USD,"Japanese, Sushi",1
Sushi | Bar Montecito,Santa Barbara,145,USD,"Japanese, Sushi",1
Maude,Beverly Hills,150,USD,"Contemporary, European Contemporary",1
CUT,Beverly Hills,250,USD,"Steakhouse, American",1
Nozawa Bar,Beverly Hills,195,USD,"Japanese, Sushi",1
Gucci Osteria da Massimo Bottura,Beverly Hills,195,USD,"Italian, Contemporary",1
Pasjoli,Santa Monica,200,USD,"French, Contemporary",1
Rustic Canyon,Santa Monica,97,USD,Californian,1
Aubergine,Carmel-by-the-Sea,205,USD,"Contemporary, Californian",1
Madera,Menlo Park,129,USD,Contemporary,1
Orsa & Winston,Los Angeles,125,USD,"Contemporary, Asian",1
Q Sushi,Los Angeles,300,USD,"Japanese, Sushi",1
Osteria Mozza,Los Angeles,115,USD,Italian,1
Phenakite,Los Angeles,158,USD,"Asian, Contemporary",1
Shibumi,Los Angeles,195,USD,"Japanese, Traditional Cuisine",1
Morihiro,Los Angeles,300,USD,"Japanese, Sushi",1
Mori Sushi,Los Angeles,150,USD,"Japanese, Sushi",1
Le Comptoir,Los Angeles,175,USD,"Californian, Vegetarian",1
State Bird Provisions,San Francisco,90,USD,Californian,1
The Progress,San Francisco,78,USD,Californian,1
Sons & Daughters,San Francisco,225,USD,Contemporary,1
Wako,San Francisco,135,USD,"Japanese, Sushi",1
jū-ni,San Francisco,165,USD,"Japanese, Sushi",1
Mister Jiu’s,San Francisco,75,USD,"Chinese, Contemporary",1
Al's Place,San Francisco,88,USD,"Californian, Contemporary",1
Sorrel,San Francisco,148,USD,"Italian, Californian",1
Omakase,San Francisco,150,USD,"Japanese, Sushi",1
Niku Steakhouse,San Francisco,402,USD,Steakhouse,1
O' by Claude Le Tohic,San Francisco,250,USD,"French, Contemporary",1
Mourad,San Francisco,155,USD,"Moroccan, Contemporary",1
Angler SF,San Francisco,600,USD,"Contemporary, Seafood",1
Kin Khao,San Francisco,70,USD,"Thai, Californian",1
Gary Danko,San Francisco,139,USD,Contemporary,1
SPQR,San Francisco,120,USD,"Italian, Contemporary",1
Avery,San Francisco,189,USD,"Contemporary, Creative",1
Bar Crenn,San Francisco,165,USD,"French, Classic French",1
The Shota,San Francisco,175,USD,"Japanese, Sushi",1
Spruce,San Francisco,75,USD,"Californian, Contemporary",1
Marlena,San Francisco,110,USD,"Californian, Contemporary",1
The Kitchen,Sacramento,155,USD,"Contemporary, Californian",1
Taco María,Costa Mesa,89,USD,"Mexican, Contemporary",1
Knife Pleat,Costa Mesa,135,USD,"Contemporary, Modern French",1
Hana re,Costa Mesa,300,USD,"Japanese, Sushi",1
Protégé,Palo Alto,210,USD,"Contemporary, Californian",1
Hiša Denk,Zgornja Kungota,85,EUR,"Creative, Modern Cuisine",1
Dam,Nova Gorica,120,EUR,"Modern Cuisine, Mediterranean Cuisine",1
Gostilna Pri Lojzetu,Vipava,95,EUR,"Modern Cuisine, Contemporary",1
Grič,Horjul,110,EUR,Market Cuisine,1
Restavracija Atelje,Ljubljana,120,EUR,Creative,1
Lai Heen,Guangzhou,"1,200",CNY,Cantonese,1
BingSheng Mansion,Guangzhou,800,CNY,Cantonese,1
Suyab Courtyard・Pickmoon Gourmet,Guangzhou,"3,000",CNY,Chao Zhou,1
Lei Garden (Yuexiu),Guangzhou,400,CNY,Cantonese,1
Jade River,Guangzhou,"1,000",CNY,Cantonese,1
BingSheng Private Kitchen,Guangzhou,"1,000",CNY,Cantonese,1
Wisca (Haizhu),Guangzhou,500,CNY,Cantonese,1
Hongtu Hall,Guangzhou,300,CNY,Dim Sum,1
Lingnan House,Guangzhou,800,CNY,Cantonese,1
Song,Guangzhou,300,CNY,Sichuan,1
Yu Yue Heen,Guangzhou,"1,288",CNY,Cantonese,1
Famous Cuisine (Tianhe),Guangzhou,200,CNY,Cantonese,1
Rêver,Guangzhou,"1,680",CNY,French Contemporary,1
Imperial Treasure Fine Teochew Cuisine,Guangzhou,800,CNY,Chao Zhou,1
PM & Vänner,Växjö,"1,695",SEK,Creative,1
Hotell Borgholm,Borgholm,"1,250",SEK,Modern Cuisine,1
ÄNG,Tvååker,"1,300",SEK,"Modern Cuisine, Swedish",1
Agrikultur,Stockholm,825,SEK,Modern Cuisine,1
Sushi Sho,Stockholm,"1,495",SEK,Japanese,1
Ekstedt,Stockholm,"1,800",SEK,Modern Cuisine,1
Operakällaren,Stockholm,"1,900",SEK,"Classic Cuisine, French",1
Aira,Stockholm,"2,750",SEK,"Modern Cuisine, Swedish",1
Etoile,Stockholm,"1,900",SEK,"Creative, International",1
bhoga,Gothenburg,900,SEK,Creative,1
28+,Gothenburg,"1,195",SEK,Modern Cuisine,1
Project,Gothenburg,895,SEK,Modern Cuisine,1
Koka,Gothenburg,995,SEK,Modern Cuisine,1
SK Mat & Människor,Gothenburg,825,SEK,Modern Cuisine,1
Under,Lindesnes,"2,450",NOK,Creative,1
Sabi Omakase,Stavanger,"1,950",NOK,Sushi,1
FAGN,Trondheim,"3,200",NOK,"Modern Cuisine, Creative",1
Speilsalen,Trondheim,"2,250",NOK,Contemporary,1
Credo,Trondheim,"1,800",NOK,"Creative, Scandinavian",1
Bare,Bergen,"1,850",NOK,Innovative,1
Kontrast,Oslo,"1,950",NOK,Scandinavian,1
Omakase by Vladimir Pak,Oslo,"1,850",NOK,Sushi,1
Statholdergaarden,Oslo,"1,995",NOK,Classic Cuisine,1
DILL,Reykjavík,"15,900",ISK,Creative,1
Inari,Helsinki,150,EUR,Creative,1
Olo,Helsinki,159,EUR,Modern Cuisine,1
Palace,Helsinki,200,EUR,Modern Cuisine,1
Grön,Helsinki,124,EUR,Modern Cuisine,1
Ora,Helsinki,94,EUR,Modern Cuisine,1
Demo,Helsinki,105,EUR,Modern Cuisine,1
Finnjävel Salonki,Helsinki,104,EUR,"Finnish, Modern Cuisine",1
Ti Trin Ned,Fredericia,"1,200",DKK,Modern Cuisine,1
Dragsholm Slot Gourmet,Hørve,"1,600",DKK,Creative,1
Me|Mu,Vejle,"3,300",DKK,Modern Cuisine,1
LYST,Vejle,"2,300",DKK,Creative,1
Frederiksminde,Præstø,"1,500",DKK,Creative,1
Syttende,Sønderborg,"1,795",DKK,"Modern Cuisine, Danish",1
Gastromé,Aarhus,"1,800",DKK,Modern Cuisine,1
Frederikshøj,Aarhus,"2,000",DKK,Creative,1
Domestic,Aarhus,"1,500",DKK,Modern Cuisine,1
Substans,Aarhus,"1,500",DKK,Creative,1
Søllerød Kro,Copenhagen,"1,795",DKK,Modern Cuisine,1
formel B,Copenhagen,995,DKK,Modern Cuisine,1
Alouette,Copenhagen,995,DKK,Modern Cuisine,1
Marchal,Copenhagen,"3,145",DKK,"Modern Cuisine, French Contemporary",1
Kokkeriet,Copenhagen,"1,200",DKK,Modern Cuisine,1
Kiin Kiin,Copenhagen,"1,350",DKK,"Thai, Contemporary",1
The Samuel,Copenhagen,"1,800",DKK,"Creative, Modern Cuisine",1
Boškinac,Novalja,890,HRK,Creative,1
Draga di Lovrana,Lovran,590,HRK,Modern Cuisine,1
Nebo,Rijeka,"1,250",HRK,"Modern Cuisine, Creative",1
Monte,Rovinj,"1,044",HRK,Creative,1
Pelegrini,Sibenik,955,HRK,Modern Cuisine,1
Noel,Zagreb,950,HRK,Modern Cuisine,1
Agli Amici Rovinj,Rovinj,"1,050",HRK,"Italian Contemporary, Modern Cuisine",1
Alfred Keller,Mali Lošinj,780,HRK,"Modern Cuisine, Creative",1
LD Restaurant,Korcula,970,HRK,"Mediterranean Cuisine, Modern Cuisine",1
Restaurant 360,Dubrovnik,980,HRK,Modern Cuisine,1
Stand,Budapest,"34,500",HUF,Modern Cuisine,1
essência,Budapest,"41,900",HUF,"Hungarian, Portuguese",1
Borkonyha Winekitchen,Budapest,"23,000",HUF,Modern Cuisine,1
Babel,Budapest,"29,900",HUF,Modern Cuisine,1
Salt,Budapest,"29,500",HUF,Hungarian,1
Costes,Budapest,"41,500",HUF,Modern Cuisine,1
Costes Downtown,Budapest,"31,500",HUF,Modern Cuisine,1
Braci,Singapore,228,SGD,Italian Contemporary,1
Burnt Ends,Singapore,250,SGD,Barbecue,1
Summer Palace,Singapore,250,SGD,Cantonese,1
Sommer,Singapore,228,SGD,European Contemporary,1
Cure,Singapore,228,SGD,European Contemporary,1
Iggy's,Singapore,285,SGD,European Contemporary,1
Cut,Singapore,350,SGD,Steakhouse,1
Sushi Kimura,Singapore,400,SGD,Sushi,1
Cloudstreet,Singapore,318,SGD,Innovative,1
Hill Street Tai Hwa Pork Noodle,Singapore,10,SGD,Street Food,1
Lerouy,Singapore,178,SGD,French Contemporary,1
Whitegrass,Singapore,268,SGD,French Contemporary,1
Putien (Kitchener Road),Singapore,100,SGD,Fujian,1
Alma,Singapore,258,SGD,European Contemporary,1
Chef Kang's,Singapore,120,SGD,Cantonese,1
Oshino,Singapore,500,SGD,Sushi,1
Esora,Singapore,338,SGD,Innovative,1
Buona Terra,Singapore,178,SGD,Italian Contemporary,1
28 Wilkie,Singapore,228,SGD,Innovative,1
Labyrinth,Singapore,218,SGD,"Innovative, Singaporean",1
Lei Garden,Singapore,188,SGD,Cantonese,1
Shang Palace,Singapore,328,SGD,Cantonese,1
Meta,Singapore,288,SGD,Innovative,1
Ma Cuisine,Singapore,388,SGD,French,1
Art,Singapore,208,SGD,Italian,1
Imperial Treasure Fine Teochew Cuisine (Orchard),Singapore,128,SGD,Teochew,1
Garibaldi,Singapore,218,SGD,Italian,1
Béni,Singapore,268,SGD,French Contemporary,1
Shinji (Tanglin Road),Singapore,550,SGD,Sushi,1
Basque Kitchen by Aitor,Singapore,248,SGD,Basque,1
Table65,Singapore,178,SGD,Creative,1
Thevar,Singapore,198,SGD,Innovative,1
Jag,Singapore,298,SGD,French Contemporary,1
Rhubarb,Singapore,168,SGD,French Contemporary,1
Nouri,Singapore,220,SGD,Innovative,1
Corner House,Singapore,248,SGD,Innovative,1
Candlenut,Singapore,98,SGD,Peranakan,1
Sushi Ichi,Singapore,430,SGD,Sushi,1
Shinji (Bras Basah Road),Singapore,650,SGD,Sushi,1
Summer Pavilion,Singapore,200,SGD,Cantonese,1
Terra,Singapore,408,SGD,Italian Contemporary,1
Molino de Urdániz,Taipei,"3,980",TWD,Spanish Contemporary,1
T+T,Taipei,"2,600",TWD,Innovative,1
A Cut,Taipei,"7,600",TWD,Steakhouse,1
Tien Hsiang Lo,Taipei,"8,800",TWD,Hang Zhou,1
Danny's Steakhouse,Taipei,"6,000",TWD,Steakhouse,1
Longtail,Taipei,"2,980",TWD,Innovative,1
Sushi Akira,Taipei,"5,500",TWD,Sushi,1
Impromptu by Paul Lee,Taipei,"3,200",TWD,Innovative,1
Sushi Nomura,Taipei,"10,000",TWD,Sushi,1
Forchetta,Taichung,"3,800",TWD,European Contemporary,1
Sur-,Taichung,"2,500",TWD,European Contemporary,1
Mudan,Taipei,"6,500",TWD,Tempura,1
Fujin Tree Taiwanese Cuisine & Champagne (Songshan),Taipei,"2,000",TWD,Taiwanese,1
Oretachi No Nikuya,Taichung,"4,000",TWD,Barbecue,1
Ken Anhe,Taipei,"7,200",TWD,Japanese,1
Fleur de Sel,Taichung,"5,880",TWD,French Contemporary,1
De Nuit,Taipei,"4,200",TWD,French Contemporary,1
Golden Formosa,Taipei,"2,500",TWD,Taiwanese,1
Sushi Ryu,Taipei,"7,000",TWD,Sushi,1
Ming Fu,Taipei,"2,000",TWD,Taiwanese,1
Mountain and Sea House,Taipei,"5,000",TWD,Taiwanese,1
Mipon,Taipei,"3,800",TWD,Taiwanese,1
Da-Wan,Taipei,"5,000",TWD,Barbecue,1
Ya Ge,Taipei,"8,800",TWD,Cantonese,1
Kitcho,Taipei,"7,000",TWD,Sushi,1
The Four Horsemen,New York,85,USD,"American, Californian",1
Hirohisa,New York,160,USD,"Japanese, Classic Cuisine",1
Estela,New York,100,USD,"Contemporary, American",1
Tuome,New York,75,USD,Fusion,1
Sushi Amane,New York,250,USD,"Japanese, Sushi",1
Claro,New York,50,USD,Mexican,1
Tsukimi,New York,195,USD,"Japanese, Seasonal Cuisine",1
Vestry,New York,103,USD,"Contemporary, Modern Cuisine",1
Peter Luger,New York,150,USD,"Steakhouse, American",1
Wallsé,New York,150,USD,"Austrian, Contemporary",1
Francie,New York,90,USD,"Contemporary, Italian",1
Casa Mono,New York,75,USD,"Spanish, Contemporary",1
Le Jardinier,New York,115,USD,"French, Contemporary",1
Sushi Ginza Onodera,New York,445,USD,"Japanese, Sushi",1
Noda,New York,315,USD,"Japanese, Sushi",1
Kochi,New York,75,USD,"Korean, Contemporary",1
Crown Shy,New York,90,USD,"Contemporary, American",1
Sushi Noz,New York,325,USD,"Japanese, Sushi",1
Blue Hill,New York,108,USD,American,1
Kajitsu,New York,120,USD,"Japanese, Vegan",1
The Musket Room,New York,98,USD,"Contemporary, American Contemporary",1
ZZ’s Clam Bar,New York,150,USD,Seafood,1
Oxalis,New York,105,USD,"Contemporary, American Contemporary",1
Oxomoco,New York,75,USD,"Mexican, Contemporary",1
Jua,New York,130,USD,"Korean, Korean Contemporary",1
Meadowsweet,New York,75,USD,"Mediterranean Cuisine, American Contemporary",1
The River Café,New York,175,USD,Contemporary,1
Marea,New York,150,USD,"Seafood, Italian",1
odo,New York,200,USD,"Japanese, Sushi",1
Le Coucou,New York,185,USD,"French, Classic French",1
Kanoyama,New York,75,USD,"Japanese, Sushi",1
Cote,New York,180,USD,"Korean, Steakhouse",1
Ai Fiori,New York,150,USD,Italian,1
Rezdôra,New York,90,USD,"Italian, Emilian",1
Bâtard,New York,94,USD,Contemporary,1
Caviar Russe,New York,150,USD,"Contemporary, Seafood",1
Contra,New York,89,USD,Contemporary,1
L’Appart,New York,185,USD,"French, Contemporary",1
Sushi Yasuda,New York,400,USD,"Japanese, Sushi",1
Tempura Matsui,New York,230,USD,"Japanese, Tempura",1
Gramercy Tavern,New York,189,USD,"Contemporary, American",1
Casa Enrique,New York,60,USD,"Mexican, Regional Cuisine",1
Sushi Nakazawa,New York,150,USD,"Japanese, Sushi",1
Jeju Noodle Bar,New York,50,USD,Korean,1
Don Angie,New York,75,USD,"Italian, American",1
The Clocktower,New York,100,USD,"Contemporary, English",1
Kosaka,New York,155,USD,"Japanese, Sushi",1
Carbone,New York,150,USD,"Italian, Italian-American",1
Next,Chicago,255,USD,"Contemporary, Innovative",1
Porto,Chicago,175,USD,"Portuguese, Seafood",1
Boka,Chicago,165,USD,"Contemporary, American",1
Parachute,Chicago,75,USD,"Korean, Contemporary",1
Omakase Yume,Chicago,150,USD,"Japanese, Sushi",1
Elizabeth,Chicago,150,USD,"Contemporary, American",1
Goosefoot,Chicago,165,USD,"Contemporary, French Contemporary",1
Elske,Chicago,115,USD,"Contemporary, American Contemporary",1
Topolobampo,Chicago,140,USD,"Mexican, Regional Cuisine",1
Mako,Chicago,175,USD,"Japanese, Sushi",1
Sepia,Chicago,85,USD,"American, American Contemporary",1
EL Ideas,Chicago,150,USD,"Contemporary, Creative",1
Schwa,Chicago,160,USD,"Contemporary, Innovative",1
North Pond,Chicago,95,USD,"Contemporary, American",1
Temporis,Chicago,175,USD,"Contemporary, Modern Cuisine",1
Métier,Washington,255,USD,"Contemporary, Modern French",1
Sushi Taro,Washington,300,USD,"Japanese, Seasonal Cuisine",1
Sushi Nakazawa,Washington,150,USD,"Japanese, Sushi",1
The Dabney,Washington,50,USD,American,1
Tail Up Goat,Washington,50,USD,Contemporary,1
Fiola,Washington,225,USD,"Italian, Contemporary",1
Little Pearl,Washington,85,USD,Contemporary,1
Plume,Washington,120,USD,"European, French",1
Komi,Washington,165,USD,Mediterranean Cuisine,1
Masseria,Washington,350,USD,"Italian, Regional Cuisine",1
Maydān,Washington,75,USD,"Middle Eastern, Grills",1
Rooster & Owl,Washington,65,USD,"Contemporary, Fusion",1
Elcielo D.C.,Washington,228,USD,"Colombian, Contemporary",1
Bresca,Washington,130,USD,"Contemporary, American",1
Cranes,Washington,100,USD,"Spanish, Contemporary",1
Rose’s Luxury,Washington,85,USD,Contemporary,1
Xiquet,Washington,130,USD,Spanish,1
Gravitas,Washington,150,USD,"Contemporary, American",1
Kinship,Washington,145,USD,"Contemporary, French Contemporary",1
Herberg Onder de Linden,Aduard,120,EUR,Asian Influences,1
Zarzo,Eindhoven,150,EUR,Creative,1
Katseveer,Wilhelminadorp,111,EUR,Modern Cuisine,1
Valuas,Venlo,90,EUR,Modern French,1
RIJKS®,Amsterdam,120,EUR,"Creative, Modern French",1
The Millèn,Rotterdam,105,EUR,Modern Cuisine,1
Brienen aan de Maas,Well,128,EUR,Regional Cuisine,1
Olivijn,Haarlem,130,EUR,Creative,1
MOS,Amsterdam,105,EUR,Creative French,1
Posthoorn,Monnickendam,105,EUR,Modern Cuisine,1
't Raedthuys,Duiven,120,EUR,Modern French,1
De Gieser Wildeman,Noordeloos,122,EUR,Creative,1
Basiliek,Harderwijk,125,EUR,Modern Cuisine,1
ONE,Roermond,130,EUR,Creative,1
Wollerich,Sint-Oedenrode,100,EUR,Creative French,1
Kaatje bij de Sluis,Blokzijl,105,EUR,"Organic, Creative French",1
Beluga Loves You,Maastricht,180,EUR,Creative,1
Daalder,Amsterdam,135,EUR,Creative,1
The White Room by Jacob Jan Boerma,Amsterdam,129,EUR,Modern Cuisine,1
Le Restaurant,Amsterdam,110,EUR,Market Cuisine,1
Wolfslaar,Breda,110,EUR,Creative,1
Amarone,Rotterdam,150,EUR,Modern French,1
De Moerbei,Warmond,100,EUR,"Market Cuisine, Modern French",1
De Nieuwe Winkel,Nijmegen,95,EUR,"Organic, Vegetarian",1
Derozario,Helmond,161,EUR,"Creative, Asian Contemporary",1
Pieters Restaurant,Bergambacht,110,EUR,Modern French,1
De Swarte Ruijter,Holten,130,EUR,"Modern Cuisine, Modern French",1
De Kromme Dissel,Heelsum,152,EUR,"Creative, Modern French",1
Lastage,Amsterdam,99,EUR,Creative,1
ML,Haarlem,98,EUR,Creative,1
De Heeren van Harinxma,Beetsterzwaag,93,EUR,"Creative, Modern Cuisine",1
Vinkeles,Amsterdam,195,EUR,Creative,1
Het Roode Koper,Leuvenum,100,EUR,Modern Cuisine,1
Graphite by Peter Gast,Amsterdam,150,EUR,Creative,1
Voltaire,Leersum,120,EUR,Creative,1
Mijn Keuken,Wouw,140,EUR,Modern French,1
Sinne,Amsterdam,98,EUR,Modern Cuisine,1
The Duchess,Amsterdam,150,EUR,"Mediterranean Cuisine, French",1
Perceel,Capelle aan den IJssel,135,EUR,Creative,1
Merlet,Schoorl,139,EUR,Modern Cuisine,1
Monarh,Tilburg,127,EUR,Creative,1
Het Koetshuis,Bennekom,125,EUR,Modern Cuisine,1
Calla's,The Hague,130,EUR,Creative French,1
De Nederlanden,Vreeland,150,EUR,Modern Cuisine,1
Spetters,Breskens,130,EUR,"Market Cuisine, Modern Cuisine",1
Da Vinci,Maasbracht,117,EUR,Creative French,1
Kasteel Heemstede,Houten,135,EUR,Modern Cuisine,1
't Lansink,Hengelo,119,EUR,"Modern Cuisine, Modern French",1
Ratatouille Food & Wine,Haarlem,250,EUR,Modern Cuisine,1
Rantrée,Maastricht,115,EUR,Modern French,1
Vista,Willemstad,150,EUR,Modern French,1
De Burgemeester,Linschoten,135,EUR,Modern Cuisine,1
De Vlindertuin,Zuidlaren,100,EUR,Modern French,1
Fitzgerald,Rotterdam,190,EUR,Modern French,1
Bougainville,Amsterdam,224,EUR,Modern Cuisine,1
't Vlasbloemeken,Koewacht,121,EUR,Modern Cuisine,1
't Amsterdammertje,Loenen aan de Vecht,115,EUR,Creative,1
FG Food Labs,Rotterdam,129,EUR,"Creative, International",1
Wiesen,Eindhoven,99,EUR,French,1
La Provence,Driebergen-Rijsenburg,105,EUR,Creative French,1
Cheval Blanc,Heemstede,125,EUR,Modern Cuisine,1
De Bloemenbeek,De Lutte,125,EUR,Modern French,1
Rijnzicht,Doornenburg,120,EUR,Modern Cuisine,1
Zout & Citroen,Oosterhout,99,EUR,Creative,1
De Leuf,Ubachsberg,145,EUR,Creative,1
RON Gastrobar,Amsterdam,190,EUR,Creative French,1
Tout à Fait,Maastricht,145,EUR,Modern French,1
Apicius,Castricum,85,EUR,Modern Cuisine,1
AIRrepublic,Cadzand,135,EUR,"Seafood, Modern Cuisine",1
Tilia,Etten-Leur,88,EUR,Modern Cuisine,1
Meliefste,Wolphaartsdijk,140,EUR,Creative,1
Soigné,Bussum,88,EUR,"Market Cuisine, Modern Cuisine",1
Tante Koosje,Loenen aan de Vecht,125,EUR,Modern French,1
Vermeer,Amsterdam,100,EUR,Creative,1
Eden,Valkenswaard,105,EUR,"Modern Cuisine, Modern French",1
Versaen,Ravenstein,90,EUR,Creative,1
Noble Kitchen,Cromvoirt,90,EUR,"Modern Cuisine, Sushi",1
Bolenius,Amsterdam,140,EUR,Creative,1
Wils,Amsterdam,90,EUR,World Cuisine,1
OONIVOO,Uden,100,EUR,Modern French,1
O&O,Sint Willebrord,185,EUR,"Asian, Asian Influences",1
Joelia,Rotterdam,175,EUR,Modern French,1
Yamazato,Amsterdam,195,EUR,Japanese,1
Zeezout,Rotterdam,79,EUR,"Seafood, French",1
Marrees,Weert,140,EUR,Modern Cuisine,1
Bij Jef,Den Hoorn,155,EUR,Classic Cuisine,1
Latour,Noordwijk aan Zee,113,EUR,Modern Cuisine,1
Aan de Zweth,Schipluiden,125,EUR,Modern French,1
Flicka,Kerkdriel,115,EUR,Modern Cuisine,1
Kilian Stuba,Hirschegg,140,EUR,Creative,1
Torkel,Vaduz,138,CHF,"Modern Cuisine, Market Cuisine",1
Locanda Barbarossa,Ascona,210,CHF,Mediterranean Cuisine,1
La Miranda Gourmet Stübli,Samnaun,155,CHF,Modern Cuisine,1
PRISMA AT FOCUS,Vitznau,175,CHF,Modern Cuisine,1
Les Saisons,Vevey,175,CHF,Classic French,1
Le Murenberg,Bubendorf,125,CHF,"Classic Cuisine, Modern Cuisine",1
Seerestaurant Belvédère,Hergiswil,189,CHF,"Modern Cuisine, International",1
Damien Germanier,Sion,220,CHF,Creative,1
Tsé Fung,Bellevue,188,CHF,Chinese,1
Sommet,Gstaad,204,CHF,Modern Cuisine,1
Alpenblick,Wilderswil,195,CHF,"Creative, Country cooking",1
Auberge de la Croix Blanche,Villarepos,135,CHF,Modern Cuisine,1
Talvo by Dalsass,Saint Moritz,215,CHF,Mediterranean Cuisine,1
Les Ateliers,Vevey,178,CHF,"Classic French, French",1
Bayview by Michel Roth,Geneva,263,CHF,"Modern French, Mediterranean Cuisine",1
Alpenblick - Stuba,Adelboden,135,CHF,"Modern Cuisine, Fusion",1
Galleria Arté al Lago,Lugano,135,CHF,Modern Cuisine,1
Le Berceau des Sens,Lausanne,125,CHF,"Modern French, Classic Cuisine",1
Sihlhalde,Gattikon,156,CHF,Classic Cuisine,1
Locanda Orico,Bellinzona,135,CHF,Mediterranean Cuisine,1
Attisholz - le feu,Riedholz,145,CHF,French,1
La Brezza,Ascona,180,CHF,Mediterranean Cuisine,1
Rössli - Jägerstübli,Escholzmatt,195,CHF,Creative,1
Wirtshaus Zur Säge,Flüh,120,CHF,"Classic French, Market Cuisine",1
Café Berra,Monthey,190,CHF,Classic French,1
roots,Basel,189,CHF,Modern Cuisine,1
Die Rose,Rüschlikon,190,CHF,Modern French,1
Regina Montium,Rigi Kaltbad,165,CHF,"Creative, Swiss",1
L'Aparté,Geneva,138,CHF,Modern French,1
Neue Blumenau,Lömmenschwil,175,CHF,"Country cooking, Classic Cuisine",1
the K by mauro colagreco,Saint Moritz,450,CHF,French,1
Le Chat-Botté,Geneva,220,CHF,"Modern French, Classic Cuisine",1
Truube,Gais,145,CHF,"Country cooking, International",1
Principe Leopoldo,Lugano,144,CHF,"Mediterranean Cuisine, Classic Cuisine",1
Jägerhof,Sankt Gallen,170,CHF,"Modern Cuisine, International",1
Traube,Trimbach,180,CHF,Classic French,1
La Rôtisserie,Zurich,160,CHF,"Modern Cuisine, International",1
L'Etoile - Nova,Charmey,189,CHF,Modern French,1
1904 Designed by Lagonda,Zurich,250,CHF,"Modern Cuisine, Creative",1
Panorama - Cayenne,Steffisburg,133,CHF,Modern French,1
La Riva,Lenzerheide,210,CHF,"Modern French, Classic Cuisine",1
Tosca,Geneva,200,CHF,Tuscan,1
Table de Mary,Cheseaux-Noréaz,135,CHF,Classic French,1
Sternen - Badstube,Wangen bei Dübendorf,142,CHF,Classic Cuisine,1
La Table du Lausanne Palace,Lausanne,198,CHF,Modern French,1
L'OURS,Crans Montana,205,CHF,Modern Cuisine,1
Du Cerf,Sonceboz,185,CHF,Classic French,1
EquiTable,Zurich,180,CHF,Modern Cuisine,1
Le Flacon,Carouge,125,CHF,Modern Cuisine,1
Mammertsberg,Freidorf,180,CHF,Classic French,1
Le Pérolles,Fribourg,188,CHF,"Classic French, Contemporary",1
Neue Taverne,Zurich,130,CHF,"Vegetarian, Modern Cuisine",1
Steinhalle,Berne,147,CHF,Creative,1
Osteria TRE,Bubendorf,176,CHF,"Italian, Modern Cuisine",1
Le 42,Champéry,140,CHF,Modern French,1
La Table d'Adrien,Verbier,205,CHF,"Contemporary, Mediterranean Cuisine",1
Gasthaus Zum Gupf,Rehetobel,164,CHF,"Classic French, Traditional Cuisine",1
Chesa Stüva Colani,Madulain,180,CHF,"Italian, Innovative",1
Sonne,Wengi bei Büren,174,CHF,"French, International",1
Schlüssel,Oberwil,160,CHF,"Mediterranean Cuisine, Classic Cuisine",1
Verve by Sven,Bad Ragaz,140,CHF,"Modern Cuisine, Market Cuisine",1
La Chaumière by Serge Labrosse,Troinex,165,CHF,Modern French,1
After Seven,Zermatt,199,CHF,Creative,1
Le Café Suisse,Bex,170,CHF,Modern Cuisine,1
Le Cigalon,Thônex,165,CHF,Seafood,1
Vivanda,Brail,250,CHF,"Creative, Alpine",1
Ornellaia,Zurich,190,CHF,Italian,1
Zum Äusseren Stand,Berne,145,CHF,"Contemporary, International",1
The Japanese Restaurant,Andermatt,220,CHF,"Japanese Contemporary, Fusion",1
The Japanese by The Chedi,Andermatt,140,CHF,"Japanese Contemporary, Fusion",1
Zur Gedult,Burgdorf,140,CHF,International,1
Guarda Val,Lenzerheide,185,CHF,"Regional Cuisine, Modern Cuisine",1
Il Lago,Geneva,169,CHF,"Italian, Mediterranean Cuisine",1
Maison Manesse,Zurich,160,CHF,Creative,1
Löwen - Apriori,Bubikon,198,CHF,"Mediterranean Cuisine, Seasonal Cuisine",1
I Due Sud,Lugano,198,CHF,Mediterranean Cuisine,1
Alpine Gourmet Prato Borni,Zermatt,170,CHF,"Creative, Country cooking",1
IGNIV Zürich by Andreas Caminada,Zurich,248,CHF,"Sharing, Modern Cuisine",1
dasRestaurant,Thun,145,CHF,"Modern Cuisine, International",1
Sushi Shin,Zurich,299,CHF,Japanese Contemporary,1
META,Lugano,122,CHF,"Mediterranean Cuisine, Italian",1
UniQuisine Atelier,Stansstad,180,CHF,"Modern Cuisine, Classic Cuisine",1
Denis Martin,Vevey,360,CHF,Creative,1
L'Ermitage,Vufflens-le-Château,285,CHF,Classic Cuisine,1
Gasthaus zum Kreuz,Dallenwil,148,CHF,"Classic Cuisine, Traditional Cuisine",1
Segreto,Wittenbach,150,CHF,"Creative, Mediterranean Cuisine",1
Le MontBlanc,Crans-Montana,189,CHF,Modern French,1
GÜTSCH by Markus Neff,Andermatt,165,CHF,"Classic French, Market Cuisine",1
Schlüssel - Nidbergstube,Mels,190,CHF,"Classic Cuisine, Modern Cuisine",1
Bel Etage,Basel,175,CHF,"Classic French, International",1
La Table d'Antonio Salvatore au Rampoldi,Monaco,220,EUR,"Italian, Creative",1
